RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
87302,SKY,F,2005,American Pit Bull Terrier/Pit Bull,,11234,07/25/2018,08/30/2019,2018
87304,ROCCO,M,2007,Pug,,11209,07/25/2018,08/30/2019,2018
87305,THEODORE,M,2005,Yorkshire Terrier,,10011,07/25/2018,08/30/2019,2018
87307,BELLA,F,2007,Unknown,,11428,07/25/2018,08/30/2019,2018
87336,PRINCE,M,2006,Unknown,,10468,07/25/2018,08/30/2019,2018
87338,MOLLY,F,2003,"Poodle, Miniature",,10309,07/25/2018,08/30/2019,2018
87373,FRANKLIN,M,2003,Yorkshire Terrier,,10305,07/25/2018,08/30/2019,2018
87377,HERCULES,M,2006,German Shepherd Crossbreed,,11217,07/25/2018,08/30/2019,2018
87378,SACHA,F,2000,Newfoundland,,10023,07/25/2018,08/30/2019,2018
87412,BONITA,F,2006,Unknown,,10012,07/25/2018,08/30/2019,2018
87413,FLUFFY,F,2006,Shih Tzu,,10304,07/25/2018,08/30/2019,2018
87416,ROCKY,M,2006,Unknown,,10462,07/25/2018,08/30/2019,2018
87445,STEVEN,M,2006,Bichon Frise,,11220,07/25/2018,08/30/2019,2018
87446,SHUGI,F,2003,"Poodle, Miniature",,10021,07/25/2018,08/30/2019,2018
87475,MICKY,M,2006,Chihuahua,,11239,07/26/2018,08/30/2019,2018
87534,MICKEY,M,2005,Unknown,,10033,07/26/2018,08/30/2019,2018
87535,JOSEPHINE,F,2001,Chihuahua,,10471,07/26/2018,08/30/2019,2018
87536,SNOPPY,M,2004,Unknown,,10009,07/26/2018,08/30/2019,2018
87602,COCO,F,2003,Yorkshire Terrier,,10309,07/26/2018,08/30/2019,2018
87603,MAXWELL,M,2004,Beagle,,11215,07/26/2018,08/30/2019,2018
87635,SCOOTER,M,2002,Shih Tzu,,10308,07/26/2018,08/30/2019,2018
87636,APPLE,F,2007,Labrador Retriever,,10022,07/26/2018,08/30/2019,2018
87662,MOLLY,F,2003,Unknown,,11357,07/26/2018,08/30/2019,2018
